Topic,Sub-topic,Speaker,Question,Answer
Candidate Questioning,Donald Trump,Candidate Vivek Ramaswamy,"I mean, would you agree like if you said you said? Yeah, so there was a really. Yeah, so I'm really Did you read the piece? I mean, I thought there was some really abusive. Oh really interesting He loves you. Yeah. No, he said. Oh, he doesn't love me. Actually. No, he doesn't love you But he said some I think he said some complimentary things that you're about your campaign about your character But said there's no way you're going to win and win for president. Well, you went from under 1% I think now the latest poll has you above 5% and we're in the very early innings here, right? I think there's one that just came. I mean, yeah, there's some that have you know, bounce a little higher than that But yeah, you're a little higher before the first debate the thing that vivek's done Let me just state this in a observer and then you can react to it is that You have kind of inserted yourself in the debate on every issue You know every day as it comes up I mean, you're kind of living off the land as a candidate not out there with just kind of a traditional stump speech But you're finding a way to insert yourself into the debate every day on social media. I mean you post a tweet that will hit the nerve of whatever the issue is going viral that day Which means that you'll go viral and so for months. I've been seeing your tweets go Super viral and so it's not surprising to me that Your candidacy is starting to you know catch on in that way What's remarkable to me is that other candidates can't do it. I mean when you first started doing and I was kind of like, okay This is Obvious and easy. Of course, this is what you would do But other candidates have not really done that for whatever reason so I mean am I I give my perspective on that because if we use the normal like it is when you accuse us of creating a banking crisis But other than that I do want to close the loop on that one. You can either do it on air or off No, do it right now."," Let's go do it right now. Yeah, you know, so for the other candidates not doing it. It's Anyway, that's less interesting. It's fine. Maybe they'll do it It's not running it through a filter right because because I think the traditional political thing is and here's what's going to happen to me As a consequence, I'm going to eat the consequence of this right there. Everything comes at a cost There's no free lunch I'm going to say something in real time that reflects my honest instincts. That's my whole strategy, right people can tell the difference But then I'm going to change my mind on one out of a hundred things Okay, and that's just going to happen right and it's going to be open to that and eat my words And you know, I'm going to do it at some point and that's the trade-off we're making is that I'm not running it through the filters I'm I'm not making up what I believe. I'm telling you actually to the contrary what I truly believe But if I'm doing it really that rapidly in response to what's happening I think people appreciate that but I'm going to eat my words at some point and that's okay in response to new information You know response to new information or sometimes even in response to reflection, right? So that's gonna have to make a gaff basically because it's less filtered is what you're saying You might make a gap."
Candidate Questioning,Silicon Valley Bank Crash,Candidate Vivek Ramaswamy,"Yeah, do you think Jason caused a banking crisis by using all caps? Oh, it's when he tweeted yes or no I can't even tweet on a Saturday night called the back was a bank run I did not say I did not I never said that either but we did go at it pretty hard",So so I actually talked to a lot of friends who were in the position of Running companies that had some amount of gas and we talked through this like this specific situation and then it dawned on me Where and it might it's not it's not necessarily we're gonna agree at the end of this But there's a chance that we might actually Which is this so In the lead up to this before that Friday.
Candidate Questioning,Silicon Valley Bank Crash,Candidate Vivek Ramaswamy,Why?,Because like let's put aside all the histrionics do the math on it And I remember there's a little hazy now right so on the facts But I think it's approximately right and you correct me if you have up-to-date facts on this But I think it's approximately right if everybody had run And gotten their money out I think it would have been like 94 cents on the dollar that everybody would have walked out with Right and so what happened on Friday is in this the part where I want to potentially build a bridge here The part that what happened on Friday was that Friday was the government At what FDIC or otherwise froze The ability regulator on that Friday morning.
Candidate Questioning,Silicon Valley Bank Crash,Candidate Vivek Ramaswamy,"Yeah the Friday morning You're much closer to this, you know in the details, but the California regulator froze the ability to take out deposits so I am more sympathetic To the point that once the government's gotten involved because that really is then like You know kind of like an oh crap moment where?","Your CEO of a company or a cfo and you want to get your money and then you can't now it's panic, right right and so I think that there's a version of the world where the version of the world I wanted I was talking about this before you and I were talking directly to each other I just think they should have stayed out of it 94 cents on the dollar Not bad, which is why the public didn't actually end up directly using taxpayer funds was because the bank was healthy in its own Right, that's what that's the worst result a bank run would have produced there Which actually should have been heartening in terms of confidence. Let me give you an insight that maybe you weren't As close to as the rest of us were Which is on all the boards that all of us sit on all of the boards were discussing Independent of this show and the conversations in the media We need to move all of our money out of all of the banks that aren't one of the top three And move all of our money into those top three So the point is a shame to the sips to the top four sips That's the point of view that we all saw was that there was a mad rush in corporate america and startup land In small business land. This isn't even vc land This is like everything from the non-profits that we sit on the board of to the You know laundromat to the dry cleaner to every business. I got you. I have their money in a small bank Was saying I got to move my money into a big bank now And that's where the whole banking system is put at risk and that is why we all universally felt that it was important to highlight That the federal government needs to step in and reassure and rebuild confidence in the small banks in this country Just in the deposits not at the only and that the only way to do that was to say your deposits are safe And that was it and that that was the point because the panic that was going on in small business land in america Which as you know employs half of the people in this country Was at risk and that those people those small businesses were fearful And they were looking to rush to the big banks and that would have cratered the small banks around the country So and"
Candidate Questioning,Silicon Valley Bank Crash,Candidate Vivek Ramaswamy," I think it's it's a difference in vantage point, right?","You know discussion about populism and everything else Yeah Yeah, I don't think Dave sacks caused the bank run anymore that i'm causing populist waves in this country Again, it was jason with his cat's lock, but yeah, go ahead But I think I think the reality is people literally have tweeted that I caused the bank run."
Candidate Questioning,Silicon Valley Bank Crash,Candidate Vivek Ramaswamy,"It's insane, but right, right?","There's there's a technical there's a technical point I'll make and then we'll get to the deeper point the technical point to close the loop is I think Dave I find your position More reasonable given that it's after friday when the california regulators came in and locked in But in my version of the world, I would have just said stay the heck out Government of any kind 94 cents on the dollar."
Candidate Questioning,Silicon Valley Bank Crash,Candidate Vivek Ramaswamy,"And so these it's like a heisenberg effect, right?","You can't you know, you you assume you're following what I mean is You you know basic principle in physics. You can't You know observe the spin and not affect the spin of the electron at the same time I think the same thing applies to a relationship between the government and its people And so I think part of the reason that people I think I feel the same way about the FDA by the way I think people would be far more scrutinizing Of the medicines they took if it didn't come with the crowding out effect Of that individual level of self-responsibility and due diligence that the government wasn't doing "
Candidate Questioning,Donald Trump,Candidate Vivek Ramaswamy,"But now we live in the worst of all worlds where we have neither the government's neither actually protecting nor actually providing the space for individual responsibility I just wanted to hear you know, you make a statement you collect data One in a hundred you say you'll change your mind I just want to understand with all the data the past the present And probably who knows every every incremental day when we see something new What is the full 360 degree view that vivek ramaswamy has of donald trump full 360 degree view got it"," Yeah, I actually haven't had a space to articulate this yet. So I I think this I think this is useful So my view is that He was a successful president measured by reviving the economy sexual president period How why do I say that? Reviving the economy growing the american economy. I think that recognizing and speaking to and partially addressing Concerns that had been historically unaddressed by both both major political parties. We did not enter a major war We were on the brink of major conflict with north korea on the precipice and other parts of the world Isis was a thing it is You know by it exists, but it's by and large not the same threat that it was after his presidency as it was when he took over These are major accomplishments, right? I think the immigration crisis. I think is far worse today Precisely because biden's in office and not trump. So I believe he was a successful president That's view number one view number two He has an effect on people About 30 of this country that I think becomes Psychiatrically ill when he is the us president I think it's just a fact right agreeing with things that they otherwise wouldn't have agreed with because that 30 number applies on our pot too one and four Well, I think that I think it's just it's just the reality is People lose their ability to process information people lose the ability to think independently It's like a demonic possession That happens in this country of about as best I can tell about 30 of the country And I think that's not good for the country and we can debate who's to blame for that or whatever But I'm just stating it in observation that I feel pretty strongly about And so I think most of trump's policies were good."
Candidate Questioning,Donald Trump,Candidate Vivek Ramaswamy,Do I have some policy disagreements with them?,"Of course, I do it would be weird if any two people agreed on 100 of things I would re-enter the cptpp He exited the tpp. I think his exit of the tpp gives us a stronger Negotiating position with malaysia and japan to you know, fix some of the micro things that we might have wanted China's not in the tpp. That's part of the path to actually declare economic independence from china if it comes to that We could go into a lot of different details I would have rescinded the affirmative action executive order that linden signed that I asked trump's people why they didn't They said it was a political hill. Yeah, so so I mean I gave you like small examples of what he got wrong But I think the real care the real thing that he got wrong I'm not sure that getting wrong is the even framing it's just a fact That 30 of this country became Psycho-ethically ill and you're the leader of this country you're leading a nation And so you could decide whose fault that is but I believe leaders are ultimately judged by their results And for whatever reason even when I'm saying the same things that trump often did as a matter of policy or foreign policy Or domestic economic policy And maybe it's because people don't don't yet know me broadly, but I don't think that's it actually I don't think I'm having that effect on people And I think that that's why I'm in this race to carry forward unapologetic, george washington america first policies And to do so more successfully But also in a way that unites the country around that vision more so than donald trump ever did or could in second term"
Candidate Questioning,Donald Trump: Stolen Election,Candidate Vivek Ramaswamy, Was the election stolen?,"Here's the sense in which I think the election was stolen in a data-driven way I've not seen any data to suggest that the ballot fraud or anything like that would have been sufficient to overturn The ballot count of the ballots. I've not seen any evidence to that effect what I do see is hard evidence that People in this country would have elected a different president. You know what I was saying is let me get to the punchline the sense in which the election was stolen was The hunter biden laptop story and the systematic suppression of information. I think that there is no doubt That's no doubt. I think that the evidence strongly suggests that trump would have been elected and not biden had we actually A voter base that had access to that information And I think that that is something that we ought to learn from and I think that it does cast A lot of doubt and frustration on the legitimacy of the election. Let me double click on that You seem to have said on other programs. I've heard you at least a half dozen times talk about deep state deep state conspiracy trying to frame donald trump federal indictment of the 37 criminal charges for the stolen documents Refusing to give them back You got the new york case 34 more felon accounts. We're about to have another one drop on january 6th You got the georgia where he tried to get people to get 10,000 more votes You got the new york case where cfo is going to jail You got him guilty of sexual assault And then you got latina james is suing the trump organization of these seven are all seven a deep state conspiracy I think it's it's a collective anaphylactic immune response To an antigen that challenged the system. I guess really would have in case if you do anything wrong You think all seven of these cases he's scot-free. It's just I want to be really clear about something I'm running for us president in this race against donald trump because i'm the best position to lead this nation forward And I would have made I would have made I would have made very different judgments than he did But I think criminalizing bad judgments Especially when done so against political opponents in the midst of a presidential election Is an awful judgment for a u.s president and the department of justice underneath him to make So I have a lot of facts judge you think that the the department of justice and the person he put in charge of it They're all conspiring and that he didn't do anything wrong "
Candidate Questioning,Donald Trump,Candidate Vivek Ramaswamy,"Well, there's like a lot in that statement, right?","Sure. Does he did you do things that I think are Reprehensible that I wouldn't have done. Yeah, I think so. I mean a lot of acts as they exist Absolutely Do do I think the Biden and a lot of other politicians who have come have done things that I would have done differently and Actually think we're wrong decisions."
Candidate Questioning,Donald Trump: January 6th Insurrection,Candidate Vivek Ramaswamy,"I think it is Do you think he sent those people to, I mean you want to just put up a January 6th I don't think he did no no I think when he told them to march down there and when he told the proud boys to stand by and stand back You don't think that he was inciting them?","Let me just say I'm not here to Defend to donald trump's behavior. I'm running for u.s president. I think we need to see the truth I don't think yeah, but my opinion on this matters. Yes. I want to be very clear about that the hat that I'm wearing I would not have done what he did but He was very clear me you look at the transcripts You run this by as I have first amendment scholars just to check my I mean inciting violence is not protected speech by the first amendment There's no sense in which when he tells people to peacefully make their way to the capital That does not meet any supreme court test for what constitutes inciting violence in this country I think that let's just take the let's take the new york example. I mean some of the stuff the details actually matter Let's take the oath keepers one because that found one Hold on Let me get this one first. Hold on."
Candidate Questioning,Donald Trump: January 6th Insurrection,Candidate Vivek Ramaswamy,"Based on the facts that I have seen I've seen no evidence of that you're delusional Okay, yeah, I've seen I've told them to stand by Okay, so I'm also there's also an indictment that hasn't been brought so I've offered my opinion On the first two indictments that have been brought against him, right?",I read them I read all 49 pages in the last one. I'm responsive to facts. Yeah on the first two indictments. I think they're absolutely Politically based in and I can go through the if you're interested we can go into the specifics. I mean I'll take you at your word.
Candidate Questioning,Donald Trump: January 6th Insurrection,Candidate Vivek Ramaswamy,"I mean, I'll just give you a line on each, right?",Okay in new york Let's take a fact that it's a state offense that was upcharged to a felony And outside the statute of limitations Only by tying it to an alleged federal crime. And what was that federal crime?
Candidate Questioning,Donald Trump: January 6th Insurrection,Candidate Vivek Ramaswamy,And what was that federal crime?,"Failing to report a hush money payment to a porn star as a campaign contribution There would be a stronger case For using and paying hush money and using campaign funds to do it that that was a federal campaign finance law violation Then not actually counting it. So so so many counts. That's a politicized prosecution against anybody else. They wouldn't have brought it documents case A 49 page indictment read it twice That does not once mention the presidential records act the most relevant statute that talks about what the basis is for president to keep Documents or not and instead charges him according to I think one of the most un-american laws in us history passed during world war one to silence world war one dissenters Including eugenie v. Debs who eugenie v. Debs who was actually put in prison over this I have long argued that that was a statute that should have long been over should have been rescinded That's now being used to charge a crime rather than eat more precise crime So I tend to be very responsive maybe to the point of frustration of being technical on these things But I believe facts and law actually matter I think that If trump was the best guy for the job, I wouldn't be running in this race if ronald reagan were alive and well today I would not be running in this race. "
Candidate Questioning,Donald Trump: January 6th Insurrection,Candidate Vivek Ramaswamy,"God. So you're not a fan I want to I want to just go back to the Oh, wait, I have a question. I have a question about these trump scandals Do you think that one of the seven?","Well, I think do you think trump should be indicted for Donald trump jr. Being paid 83 000 a month to serve on the board of a ukrainian energy company Despite having no energy expertise. Oh wait, that's hunter and his personal life being in crisis because he's a drug addict Him getting that job three months after His father approved a and backed a coup against the ukrainian government. Do you think that donald trump jr. Should be Investigated for that and david is this is this also after That donald trump then sends 200 billion dollars of us taxpayer money to that very country After he's elected an office. I think that's the strongest of the scandals i've heard so far "
Candidate Questioning,Donald Trump,Candidate Vivek Ramaswamy,"So you believe biden is a grifter. Oh, wait. I say i'm a hunter biden. Sorry. Well, it's just wrong grifters What do you think of jared kushner getting taking down 2 billion from the saudis after he walked out of the white house?","I don't have That's not a matter that I have views on Oh, you don't have views on that but you got plenty of views on trump. I got because he's not in government He's not in government. This is a great example of why i'm in this race I'm telling you this is there's something about the existence of donald trump exactly can't get away from criminal That deflects our ability Yeah criminal behavior and trying to sell each forward the agenda of this country much of which was trump's own agenda "
Candidate Questioning,Republican Polling,Candidate Vivek Ramaswamy,"So vivek in order to win this candidacy and the reason I brought up the politico publication this morning Obviously, there was a bit of tongue in cheek on the effusiveness but the the key point being made was you have no chance of winning and That you shouldn't be in the race at all Now look I think that was the thesis of the piece. That's fair. That's a fair description. so, yeah, so Let me uh, let me address the first It's basically in the camp that I don't think it's the voters that ultimately matter Not the people who have appointed themselves in the reigning establishment or it's not even the establishment anymore It's an outdated establishment That I don't think actually is going to influence meaningfully the result of this election except for one respect, which is money Which i'll get back to So the area where we're punching above our weight, right?","Debates haven't even happened yet. You know, at least in the last week. I'm third in most of the national polls This is well ahead of even where we planned to be right We planned to be in third by november december ahead of the isle caucuses ahead of new hampshire Overperform expectations and both of those use the momentum to then win the race That was broadly the strategy with the debate stage as the play as the way where I would steadily work my way into that I think we're just now on a different curve where you know, we might be in second place by then and by a smaller margin than people expected I think the debate stage is critical the campaign strategy is actually to combine the initial investment that Because I've lived the american dream of was able to make but to combine that with a true grassroots uplift We've got close to 70 000 maybe more. I have to check the exact numbers unique donors already. You have former you know, vice presidents or other candidates that are You know well on their way and struggling by some measures to get to 40 000, which is the threshold For the first debate. So our strategy is very much a grassroots strategy I've done more campaign events than anybody in the republican field And so this is our strategy is very grassroots driven So i'm punching above my weight in terms of events unique donations polling The one area where i'm punching below weight is large-scale donations So we are not raising mass numbers of large check external funds yet into the campaign My super PACs or I don't even I mean whatever their independent expenditures I don't there's there's an entity that exists out there that's been affiliated with me has based on public reports that Tiny amounts of money compared to those that are supporting and all in for candidates from tim scott to ronda sanis And that's also a reality right and I think that that comes with competitive advantages and disadvantages They're two sides of the same coin. I think I am at liberty Total liberty."
Candidate Questioning,Scott Walker,Candidate Vivek Ramaswamy,"Yeah, i'm not surprised because you know, I know him and I think he's a good executor right?","I think he has been a I disagree with some other people on this. I think he's been quite an effective governor I Think that when you're talking about and scott walker in the last cycle was quite an effective governor And for the same reasons that people believed scott walker was going to be the runaway nominee last time around I think that people naturally gravitate people think they want somebody who has Done something as an effective executor, but when it comes to the u.s. Presidency, I think it's a unique role Where what matters is actually having a vision for where we are going right and so i'm not Without saying things that are interpreted as being mean about somebody else or not I know all of these people have known them for a long time. I've shared stages with them over the course of my woke ink book tour and nation of victims book tour I'm not surprised with how things are going in this race You know, I said we expected to be where we are in november. We're here in july I'm not surprised that we're doing well. I understand how audiences across this country responded to my message in woke ink I'm not surprised that they're continuing to respond well to trump I think there's nothing surprising about where we are in this race right now and so you're not surprised because because desantis is a competent Administrator, but that is a great job as governor, but not the bill of goods for the president I'm really at a point in this race from I want to flow in not criticizing other candidates, but to be honest with you I think I think there's a lot of truth to what you said Do you think part of it though is that trump has singled out desantis as the one candidate who he's gonna Beat the hell out of I mean, I don't think so david actually."
Candidate Questioning,Donald Trump,Candidate Vivek Ramaswamy,"I'll tell you why But that's true, right? He has not attacked you. Trump's actually said good things about you Yeah, he's not attacked anybody else in this race. Yeah, exactly. Have you spent time with trump?","I know all these guys I know I'll have you spend time with trump when's the last time you talked to him Not a serious amount of time. I've spent more time with desantis than I have with trump. Once yeah, this is long before I was running for president, but we had dinner "
Candidate Questioning,Scott Walker,Candidate Vivek Ramaswamy,Has his people ever reached out and tried to build bridges with you?,"We've talked backstage. I mean most of us when we intersect each other We're speaking at the same forums the nra the family leader thing that tucker did backstage We have interactions with all the other candidates. I'd like to think I'm friendly with everybody Uh, you know, I don't know how you know, I haven't talked to ron recently, but I've talked to him more before But I think the reality is You know, so dave what you said is definitely true and I'm not in this to be a political analyst, right? I'm in this to state what my beliefs are say who I am and people can vote for me or not But I actually do think I don't think that trump's commentary on the other candidates is having so much of an effect I think voters many people who are maybe initially behind desantis I know many of them are people who are part of that traditional establishment They didn't want that most of them didn't want to have nothing to do with trump But decided that that was the next best thing So I don't think that trump's attacks are going to persuade them one way or another I think comes down to the study of what happened in 2016 Right scott walker great governor really respect the guy and I like what he's doing in his post elected office life as well But everybody has a role to play in reviving this country And I think we all have to look ourselves in the mirror and ask ourselves."
Candidate Questioning,Position of Governers,Candidate Vivek Ramaswamy,How are we going to make our unique contribution?,And I think it's going to require governors who are effective implementers Of a vision that makes their states thrive I think governor says it's a really good job of that. I think christy gnome has done a really good job of that I think there are people who hopefully will continue to have an impact on our culture outside of government altogether There's a really important role for that and jason.
Candidate Questioning,Education and Sexuality,Candidate Vivek Ramaswamy,I think that's my answer to your other question Which I forgot to answer which is that's what I would do two things that you mentioned just in passing But I just want you to clarify your thoughts on them One is you said you would abolish the department of education and I thought I'd never heard anybody say that really so Could you just expand on that what you mean? And then the second I'd love for you to talk about some of these supreme court decisions that have come in the last little while specifically The abortion debate the affirmative action debate the rights of businesses to Not service people that whose ideology they disagree with and then sorry the third point is maybe use that last part as a jumping off point I'd love for you to understand your position on lgbtq the role of The trans movement what's happening in schools ,"Those are the three kind of big chunky areas that that I think are worth talking about if you if you can just give a few minutes Yeah, there's a lot there. Yeah, so so so let me if I skip over something Bring me back so Department of education I think the federal government is not as a factual matter directly involved in education I think it is a therefore a deadweight waste for money to cycle from the taxpayers To the federal department of education to then disperse those funds inefficiently as they do Tilting the scales to four-year college degrees Over choices that people might have otherwise made that are better choices for them vocational training one year two year programs Using it as a cudgel and this relates to the latter issue you asked about to tell local schools They don't get that money unless they're adopting what I certainly view as toxic racial and gender ideology based agendas They use the money as a cudgel to do it So I've said that that department that spends about 80 billion dollars of taxpayer money. I'll shut it down Tonight in New Hampshire. I'm laying out the anatomy of exactly how we'll shut it down And then return that money to the states to the people put it in parents pockets Very specifically you have to be a state that has a school choice program in order to receive that Department of education shutdown dividend I think that if you're in such a state I would also believe that those states need to write their teachers union teachers contracts in a way that stop teachers from Joining teachers units, which I think have been a destructive force on our public schools If you're unionizing against the public think about who you're unionizing against the very kids you're supposed to represent Now we have transparency. We have choice if you teach it in the classroom put it online And then there's an interesting fact in this country where I think you guys will appreciate how Bizarre this fact really is There's not only like a failed positive correlation There is a negative correlation an inverse correlation between how much money per student a public school spends And the actual outcomes that that school achieves for its students So in my version of school choice My preferred version it would not just be that parents get to get these vouchers and educational savings accounts to send their kids to some other school That's part of the story. It's the first step But I think any parent who moves to a school That spends less per student which we know based on the data is actually all a sequel of better performing school as it relates to achievement Should be able to take half the delta with them So to take chicago or pennsylvania spending 35 40 000 dollars per student 15 miles away of a school spending 15 to 20 000 dollars per student I think they should be able to take half the difference that 10 to 15 000 half that difference of the 20 000 say 10 000 They take with them you run the math on normal investment returns You're talking about a quarter million dollar plus graduation gift when that kid graduates from 12th grade So you tell me which is a better use of money It's not even close And I think the head of the state Great idea. That's a great great."
Candidate Questioning,Education,Candidate Vivek Ramaswamy,Did you come up with that idea or did is that's a phenomenon?,"It was actually another guy's an arbitrageur who's a friend but who shares similar instincts and like I'm like I'm a value investor. I believe in that's a great idea. It's a great incentive. It just makes sense in the world Yeah, okay. Let's move past education Yeah, I want to talk about the specific the gay and the trans issue Two questions one."
Candidate Questioning,Sexuality,Candidate Vivek Ramaswamy,Do you think it's normal to be gay?,"And there's you have any problem with people being gay and then no, I do not have a problem spaces, etc No problem. So then the second of course talking about trans."
Candidate Questioning,Sexuality,Candidate Vivek Ramaswamy,"I heard you on meet the press Say that trans was a mental disorder Which yeah, you know, it wasn't the dsm Four I guess or whatever the latest one was just up to you know, yeah, just a couple years ago and now it's changed so maybe explain Why you think differently about those two things one you think it's fine to be gay But you think it's a mental disorder in all likelihood if people want to trans it Yeah, so, uh You know, I want to leave you with a good sense of where I'm at on on these issues, right?",So I think it's at least curious that when you take the lgbt qia plus value set and vision for what the movement stands for it does require you to adopt Simultaneously conflicting beliefs at once right The gay rights movement was predicated on the idea which I'm quite sympathetic to That the sex of the person that you're attracted to is hardwired on the day you're born But now with the t component of that same movement that now says your own gender Is completely fluid over the course of your own life. And I think if we're not going to observe the tension between these two observations I think that we're purposefully having our heads stuck in the sand I think what's happening in many cases is somebody who claims to be trans is really just gay 
Candidate Questioning,Sexuality,Candidate Vivek Ramaswamy,And part of what we're saying is it's not okay to be gay?,"So to answer your first question part of what the trans movement is effectively telling people is that it's not okay to be gay You know who else says that aram Actually aran is a nation that if you are gay they force you to undergo gender conversion surgery It's not that different than what's baked into the ideological premise of much of the trans movement here. And so I just want you to come from the fact there's a lot of people in the gp who will offer surface level stuff Yeah, I've Spent a lot of time thinking about this Gender dysphoria is what I've said is a mental health disorder I've been very precise. Let's take the intersex case out of it. Klein-Felter syndrome Jacobs syndrome right climb felter is x x y Jacob syndrome is x y y these are ultra rare They exist They're real for the purpose of our discussion though. It's under the broad trans umbrella I'm going to take that out of it because that's not a mental health disorder. That's a genetic reality But now let's go back to The conflicting supposition. There's no gay gene yet the sex of the person you're attracted to we accept for civil rights purposes Is hard-rired in the day you're born Yet there are x and y chromosomes and yet your own biological sex slash gender is now completely fluid over the course of your life There's a tension there And I think that tension is best explained by the way we've treated it for most of our National history for most of our medical history all the way through actually I think the dsm 5 not just the 4 as a mental health condition And I think the compassionate thing to do is not to affirm Especially when it's a kid to affirm a kid's confusion I think the compassionate thing to do is to recognize that there's some other psychological struggle manifesting itself in this form And it is cruel to affirm that kid's confusion I'm at two young women flowing surgery or hormone surgery hormone therapy exactly "
Candidate Questioning,Changing Gender,Candidate Vivek Ramaswamy,"So you would limit that to when you're an adult adult 18 years old , and you would ban parents here in new hamshire literally like where I am right now Who are in their 20s that badly regret?",Yes
Candidate Questioning,Changing Gender,Candidate Vivek Ramaswamy,and you would ban parents here in new hamshire literally like where I am right now Who are in their 20s that badly regret Undergoing double mastectomies one of them underwent a hysterectomy both of them Underwent puberty blockers even if the parents and doctors agreed with it.,What we say is a decision that you are likely To regret many in many cases at least likely to regret later in life We let you make that decision as an adult and I do believe we live in a free society as an adult You're free to identify how you want a free to wear what you want But kids aren't the same as adults and even among adults there's a difference between living your life freely and expecting that everybody else changes their linguistic and Traditional understandings in sports and traditional understandings in locker rooms and traditional understandings in language That's a difference and so I don't believe in a tyranny of the majority But I don't believe in a tyranny of the minority either 
Candidate Questioning,Changing Gender,Candidate Vivek Ramaswamy,You would say they can't make that decision for the child Just like you can't get a tattoo before the age of 18 in most Do you think this topic is over indexed on right now and is a really important topic with presidency? Or do you think this is like some sort of culture wars thing that this actually isn't that important to the national discussion should be held privately by currents I appreciate you asking that jason is I think I feel this way about a lot of the topics right from I share your racial wokeism position on that.,"I think like why is this the most important topic? Yeah, this is this is interesting Because it's a symptom it's interesting only to the extent that it is a symptom of the deeper void Of the deeper vacuum and I think the mental health epidemic is not limited to gender dysphoria anxiety depression Drug usage fentanyl suicide these let's have the conversation more holistically. These are symptoms of the deeper void And all I care about is running through these topics without somebody holding the line of defense by stopping us to get to a discussion About that void to say no, this is exactly what that kid is and you're wrong to think about as a mental health disorder I think that's unproductive because it stops us from getting to the truth over the years. It's been the case that young people tend to orient to being counter cultural or anti-establishment Generally speaking it's part of the psychological Seasoning of a human to be against the parents against the system and ultimately to create independence for oneself And that's typically counter to what came before it and it has manifested in every generation With this point of view that there is some psychological torment that has taken over the young people That is causing them to act out from beatniks to hippies to punks to goth to emo And every generation had some cultural representation is your point of view that gender dysphoria is the current manifestation Of that pattern of behavior that we've seen over the generations That's not exactly my view. My view is that it's not limited to young people I think there's something unique going on in america right now It's true of all of us There's some sense some of this comes from self-reflection, but I think it's It's true for most of us That we're hungry To be part of something bigger than ourselves Yet we cannot even answer What it means to be an american or what it means to believe in god or what god is And we have come up with new false idols that substitute for that."
Candidate Questioning,Changing Gender,Candidate Vivek Ramaswamy,So you want to talk about generational history?,"I mean, you know, moses by the time he comes down from the mountaintop You got the golden calf israelites are lost in the desert They say they want to go back and be ruled by the pharaoh. Yeah, I think the historical trend I'm talking about is a slightly different one and maybe has a longer arc to it than the one you're talking about but I but at my Diagnosis is not specific to young people."
Candidate Questioning,Changing Gender,Candidate Vivek Ramaswamy,How does a bat figure out where it is?,"It sends out echolocation signals sonar signals that come back and say this is where I am I think we human beings are wired to do the same thing And the pillars the walls the fixed points of truth from family to faith to patriotism to hard work To individual pride the things that used to ground us when those things disappear We're now sending out these signals and then nothing's coming back And so we're making up new pillars instead And maybe one of them is a trans flag and maybe one of them is a ukraine flag And maybe one of them is a climate cult and maybe one of them is a racial intersectional hierarchy And maybe one of them is fentanyl, but I think that that's I I do have a deep Point of agreement with you and jason that I think we sometimes get too hung up both sides Maybe republicans a lot so right now on the symptoms Without getting to a deeper discussion of the deeper cancer the deeper void that we need to fill and that's what i'm interested in Chumat brought up the roe v. Wade issue."
Candidate Questioning,Right to Abortion: Roe vs. Wade,Candidate Vivek Ramaswamy,in terms of a reasonable Right to choose versus right to life argument because you personally feel That abortion should be banned am I correct?,I am personally pro-life your pro-life So you don't believe you'll be able to get an abortion under any circumstances or do you have rape and My view as someone who's running for u.s.
Candidate Questioning,Right to Abortion: Roe vs. Wade,Candidate Vivek Ramaswamy,President responding to the question about the supreme court case Is that roe versus wade was correct to be overturned on constitutional grounds?,"Okay, fine. He was he was made as a legal argument."
Candidate Questioning,Right to Abortion: Roe vs. Wade,Candidate Vivek Ramaswamy,How do you personally?,But but it leads also to the path for moving forward which is that I think the federal government should stay out of it And so there's a discussion Amongst republicans. I think i'm the only republican candidate in this field Who has come out and said that I would not support a federal abortion ban of any kind on principled ground because To me that I am grounded in constitutional principles and I think there's no legal basis for the federal government to legislate here The tenth amendment says that part of the american experiment is we have diversity across states And I think this is a state's issue now at the level of the states I'm personally a believer that unborn life is life I think that the pro-life movement needs to we need to walk the walk
Candidate Questioning,Pro-life,Candidate Vivek Ramaswamy," When it comes to being pro-life, what do I mean?",I'm pro contraception. I'm pro adoption. I'm pro child care I'm pro more sexual responsibility for men for god's sake. We live in an era of genetic tests We can actually put more responsibility on men This doesn't have to be and should not be a men's versus women's rights issue And nobody on our side is really talking about these issues I do because I don't think this has to be as divisive as we made it out to be But I can almost prove to you that more people in this country share my instincts than are willing to admit it There's a case you know clarence thomas brought it up of pregnant woman walking down the street She's assaulted The unborn child dies as a result I haven't met and I've many liberal friends most most of my friends grown up have been you know Have different political persuasions than I have now I haven't met a single one of my liberal friends or otherwise Who says that that criminal does not deserve liability For that death and so I just think more of a leave it to the state's if one state wants to ban it They can ban it if another state wants to have a 24 week Rule they could have a 24 week rule. That's that's you're like other republican candidates I will not be signing a federal abortion ban Unconstitutional and I remain open to persuasion if some legal scholar convinces me that the u.s constitution Gives the federal government the authority to sign that in the law so be it but I have not been so convinced and I think many other Principal constitutionalists haven't been convinced even though the other republican field has all Best I know every other candidate in this race is that they would sign one 
