Question,Answer
"You're about to say this, but what do you think about what Nikki Haley suggested?","Yeah. You know, I was shocked that people... Maybe just frame for the listeners who don't know what she said. So Nikki Haley... And I asked Mark Zuckerberg this one, so too. I'll tell you. Nikki Haley proposed that every platform, every social media platform have verified accounts. No more anonymous accounts. And she got ripped. Got ripped. You know, I understand this is... It's a reasonable argument to have, but I got to tell you, I'm surprised that that's something that seemed somewhat reasonable to people who are paying attention would have such a response that she actually retracted it. I'm not proposing it. I'm just saying that I think we should be throwing ideas on the table. And I know from experiences like you guys, when you hide behind a fake name, you can be not just a jerk to someone, you can be downright dangerous. When your name's attached to it, you behave in a very different manner, not a mention when you're face to face. So I don't think that was as absurd as people considered it."
"I asked Mark Zuckerberg after a financial service is hearing a couple years ago, you know, why doesn't Facebook just verify accounts, make this so much easier to hold people accountable and have higher standards of accountability?","And he said it would be a competitive disadvantage. And of course it is. He only had to do it. Yeah. And this has been tested. Korea had their version of this in order to sign up in Korea for their social networks or ISPs, you have to use your social security numbers. Sure, that makes sense. And the other thing, guys, is you know that, you know, if you write a letter to the editor of most major newspapers, you have to, you have to attach your name to it. It has to be verified. I just think it's a conversation that we should be having. And by the way, you know, it might be time to read Future Shock again by Alvin Toffler, who predicted so much of this mess in which we find ourselves the incapacity of human beings to adapt to such rapid technological change, which by the way, you know, you on this, you just the handful of you on this, on this podcast, have more expertise than the entire United States Senate and Congress combined as it relates to the issues we're talking about. On tech, there is no capacity, no competency."
So on whom do we rely?,"The very lobbyists being paid by the very enterprises that so easily can set the standards if there aren't people of better capacity. And only 11 members of Congress have an engineering degree. Only 11. By the way, I was, I was on Kevin McCarthy invited me to join his AI cabinet, which just, it was a few four Democrats, about four Republicans. We had our first meeting and started making plans right before he was deposed. And now I don't know anything, if anything's going on in that respect."
Where do you stand on the spectrum of decorum online on one end and free speech on the other?,"Where the absolutists would say absolutely not verified accounts as a non-starter because it just fundamentally undermines the First Amendment and this other thing, which is more organized decorum. Chamath, it's, it, I think that's the issue of our day. Maybe the most important when it's true both online, it's also true in our Congress right now."
"Where's that intersection between debate, discord and, and comprehensive division?","I don't have the good answer for it right now is the truth. And I'm afraid that if you interpret our Constitution, free speech has to be met with more free speech. But I'll tell you that, but that also will conflict and increasingly is with the right to pursue happiness. I mean, that's just true. I mean, it's a, it's a, it's the most complicated issue in our era."
"You have kids, would you make it 15, 16 years old?","I think it would be healthier. Well, look, we have minimum age for alcohol. That's, you know, that's older than you have to be to fight in a war for God's sakes. It's ridiculous. You know, we have cannabis, cannabis is still banned at the federal, the hypocrisy of the federal government is also what I'm running against right now. So Jason, I think that is a good idea. You know this. And I've had daughters that grew up in the social media era. It is one of the most destructive, it is far, it is as destructive as I think drug consumption to adolescent health as anything else. So to answer your question, I think that's a perfectly legal, be perfectly reasonable, and you can't just entrust parents to do it because Johnny's parents will allow them to have the phone and the apps, you know, and Jill's won't. There has to be. I think there has to be. We do that for a lot of other things. And I think we should talk about at what age any of this is reasonable, but absolutely, I think that's not unreasonable. I want kids to be safe just like you guys. And so does everybody. That sounds like driving a car is a good back then, 15, 16, 17 years old. We should also allow kids to learn how to drink before they learn how to drive. We're the only country that does it like this, you know, drive for five years until you legally can drink. So when you have your first drink, you don't even know what it's going to do to you. You know, it's absurd."
What's the strategy you'd enjoy to achieve those goals and who are the people that you'd surround yourself with?,"Well, I'll tell you, my strategy is quite simple. It's peace around the world and it's prosperity at home, plain and simple. And I can build, I can put the legs of that stool together for you as quickly as I possibly can. But let's talk about the Middle East. You know, I'm 54 years old. President Biden has been in the U.S. Senate or in the White House for 50 years. None of us on this podcast have lived through anything but bloodshed, reciprocal misery between Palestinians and Israelis. This cycle has continued for decades. I've had enough. I cannot stand the sight of babies being pulled from the wombs of mothers by Hamas and Israel any more than I can watch babies being destroyed by bombs and missiles in Gaza. And it's got to stop. I am about to issue a statement to that end that says, essentially, Hamas must release all of its hostages, period, of which there are nine Americans, guys. Nine Americans are being held in Gaza by a terrorist organization. And as president, I would be making that my, not my daily desire or request, my daily demand, all hands on deck, these hostages must be released immediately."
Would you send in special forces to collect them?,"I would, absolutely. It is incumbent on the president of the United States to extract Americans being held against their will by any foreign entity. I don't know. Got to ask him. But good luck asking him because he doesn't do any press conferences. The goal for peace is reasonable, but maybe some specifics around your strategy. I know. So let me, yeah. Yeah, yeah, yeah. Okay, so first, at the moment, the hostages are safely released. There should be a ceasefire, period. And at that very moment, there should be a multinational peacekeeping force sent into Gaza to maintain security immediately. And when I say multinational, the very nations that are connected to Gaza, Arab nations have to be part of it, not the United States, not Israel, of course, but a significant force there to keep the peace immediately. Concurrently, a multinational coalition designed to eliminate Hamas by every nation in the world that wants them eliminated, which frankly is most. And then we have got to invest again, nations of the world, investing in a democratic civil society, infrastructure, education, facilities and security so that a new generation of Palestinian leaders can create a circumstance whereby another nation can be created, period. And it's not going to happen with Israel and Palestinians trying to do this. It has got to be imposed. It has got to be a coalition of the willing. And then only then will we see the conditions for, hopefully, elections for Palestinians for the first time since 2006, 17 years. And concurrently, it is time for Israelis to call an election to replace Benjamin Netanyahu because he is absolutely part of Israel's security problem. I've looked him in the eye. I told him before this happened earlier this year, I've been with him twice, looked him in the eye. I said, what you are doing is affecting the relationship with the United States and Israel and will absolutely affect security moving forward. I had no idea what would be coming on October 7th. But the settlement policy, the right-wing government, the distraction that the Judicial Reform Initiative has created in that country is made the conditions ripe. And by the way, having been in Riyadh recently too, it was really getting close. The Saudis and Israelis normalizing. And that was exactly why I believe whether implicit or explicit, Iran inspired Hamas to do this then. And by the way, in the United States, mark my words, our adversaries are watching the dysfunction and distraction right now with the same open eyes. And we have borders that are awfully easily to get in. And that's the truth. And I'm a Democrat saying that. I would do this entirely differently."
Tell us what would you do there?,"Once again, I've got a lot of colleagues who make their decisions by reading an article, seeing a tweet or seeing a TikTok. I go, I've been to Israel and the Middle East twice just in the last number of months. I've been to the southern border twice. I've seen with my own eyes, it is the most despicable, embarrassing failure of American policy I have ever seen. I have seen women walking across the Rio Grande with babies in their arms who have spent six or $7,000 their whole life savings, paid to gangs and coyotes to bring them across the border. I've seen the extraordinary beauty and grace with which Border Patrol agents have looked after these people. I've seen babies who were abandoned that were on 24-hour care of Border Patrol agents who took as good a care of these little kids as they would their own. I saw people in cages. I saw the most archaic out-of-date, inefficient, ineffective ports of entry. I saw lines of trailer trucks, probably two, three miles long, idling in the hot, hot weather, waiting to get across. I saw a mile long of human beings waiting to come into the country to do their shopping or their job or their education. And it was horrifying. And if we think, by the way, we need much better border security, barriers, technologies, and facilities. And by the way, we also needed it at the northern border. I'm a border state in Minnesota. People walk across farm fields in Manitoba and to Minnesota. We don't know who they are. Some of them get caught. That's true. But I'll tell you guys, if we think that we can solve the problem at the border, that's the issue right there. This administration and past ones just don't get it. We should be adjudicating asylum cases in countries of origin."
Why make these poor people take their life savings that they have no money?,"They're set off in the streets here. They're supposed to come back to a court two years from now. Let them keep their money. Let's build dormitories next to our consulates or our embassies in the northern triangle countries wherever migrants are coming. Create some safety security there. Invest in local economies so that there can be some opportunity. And adjudicate their cases there if they qualify. Let's bring them to America with six or $7,000 in their pocket so they can start a nice new life and pursue the American dream. And if they don't, they will be kept in their countries of origin. And of course, we have to work with Mexico as well. But this is not rocket science. It's simple problem solving. And the fact that we continue to do this stupid policy to this day, you guys, is unfair. On the other side of this, talk about recruiting. Many countries, Canada, New Zealand, a lot of the Nordics have a point-based system, and they actively recruit talent. You're an entrepreneur. You've been CEO of multiple companies. It is an absolute arduous pain to get talented people here right now. Recruitment of talent in the United States is bundled with the southern border."
Would you be in favor of a point-based system and recruitment of talent to get more talented immigrants in our country?,"Which, by the way, three of the four besties here were not born in the United States. Which is an excellent... And by the way, my four mothers and four fathers came here for the same reasons. Same reasons that every one of those moms and dads is coming across the Rio Grande. So to answer your question directly, Jason, I think we can do both. I think we should have a merit-based system to attract the best and brightest and most talented. I'm sure all of you had came from enterprises that would afford benefits, perhaps education to people. You would expect them to actually stay at your enterprise for a number of years to kind of, as a payback. We are right now... The United States is training some of the best and brightest in the world, not creating opportunities to stay. And of course, Canada is the beneficiary. The Nordic countries, European countries, you guys know this. This notion that we can't do two things at once, that we can't welcome the most disadvantage who simply want to pursue an American dream and start at the very bottom and match that with some of the best and brightest who can actually start at the very top. My goodness."
Yes or no?,"It's nonsense. Before we run out of time. Oh, darn, that's way too short. No, for you. I think we got a little over time. I got more. Hey, I got time, guys. Oh, okay, great. We really want to talk. I got time. Yeah. Freeberg and I are... I think Freeberg moved me to his position on this. Number one issue for this election, Freeberg, correct me if I'm wrong for you, is still our out of control spending. Freeberg, maybe you could tee this up. Yeah, I mean, I've said this in the past. I think the US is facing a fiscal emergency in the sense that arithmetic starts to play out, that the cost of debt spirals. We can't accomplish any of the other stuff we're talking about unless we can figure this out. We have $33 trillion of debt today. The Treasury estimates it's going to grow to $47 trillion by 2033, just 10 years away. Yeah. $1.5 trillion in deficit this year, trillion in debt interest expense alone this year, and a third of our debt is coming up to be refinanced soon. It's going to get refinanced at 4.5% interest rate instead of 2.5% sitting out today. So the interest will swell, the deficit will swell, the debt will swell, and we're already taxing 18% of GDP as federal revenue, which a lot of economists have shown. You can only get to 20% at which point economy starts to shrink. There's pretty good research on this. Some would argue differently, but I think that's a natural limit."
"A lot of people have said that this is the late-stage empire, the failure of democracy because everyone votes themselves all the money eventually, or is it a politically-oriented problem where folks don't want to address the biggest line items, they don't want to hold programs to account, and what is the answer here?","So to answer your question directly, you asked what the cause is. It's incompetency and perverse incentives, period. There used to be a political reward for conservatives who were focused on fiscal responsibility because they would win elections over tax insenders, but that party is long gone, long gone. There's no reward. That's why Trump added $7 trillion to the deficit, and that's why Biden will probably add about that much as well. So, by the way, I think I'm one of the only Democrats who has been named by the committee for a responsible federal budget, one of their fiscal heroes as a Democrat, and also I'm a Hamilton Jefferson Award winner by the U.S. Chamber of Commerce. And I'm also a pro-worker. This notion that you can't be, by the way, pro-business and pro-worker, that they're somehow mutually exclusive, that's BS. They're mutually mandatory. But back to your question, $33 trillion in debt, by the way, our economy can accommodate more. That's the sad truth. The issue is our debt service, and nobody's talking about the fact that it is going to go from the mid-400 billion a year to to your point, Dave, with the higher interest rates, probably approaching a trillion, maybe $840 trillion. No, it's already over a trillion."
Is it $1 trillion today?,"It's going to be $1 trillion five. I would argue that maybe we could have a little argument about if it's there quite yet, but none, either way. Let's call it a trillion. That means literally, we are spending way more for the past than we are investing in the future. That means we have literally no dollars left for any discretionary spending. Every bit of it is now consumed by Social Security, Medicare, and our military. On top of that, we've got people sleeping on the streets in every single town and city in America. We have kids going to school hungry. We have one of the most, to me, failing public school systems in the entire developed world. We have a healthcare system that is not healthcare, it's sick care, a fee for service model that should be capitated, and our outcomes are mid-pack. We have a $2 trillion deficit, and by the way, no childcare, no pre-K education. I can go on down the list. It's nonsensical, and we're spending $2 trillion more. So to answer your question, you guys know the answer here. We're a country with, I think, $150-some trillion in total United States household wealth."
Where do you cut?,Let's start by getting into those specifics.
"Where do you cut, and how do you cut?","So here's what I would do. Starting with Social Security. Social Security, you guys, is the most successful anti-poverty program in world history. And I believe it would be not just a dereliction of duty. It would be counter to every American principle if senior citizens struggled. By the way, we don't have a culture in America that takes care of the elders, like in most Asian cultures and other wonderful cultures in the world. So absent that, we have to afford resources. So two things. As you all know, Social Security, the trust fund, will face probably reductions in about 25% cut levels by 2033, based on the current path. Two easy things we can do. $160,000 a year is the cap right now, I think, roughly. We should make that $250. That means it's a very regressive tax. If you're making $160,000, you're paying a whole lot more of your income than someone making $250,000, $300,000 a year, not to mention $3 million or $30 million. So we should raise the cap to $250,000, make sure that fund at least is solvent through probably 2046, 2047. And then I would do something different for the first time in American history. For all the millions of Americans who've done well, don't need their Social Security, that wish to become philanthropists, I would create a pool, that goes back to the Treasury, a pool that would be automatically redistributed to the lowest 5% or 10% of all Social Security recipients in the entire country. And let's say it might be a $500 boost, it might be a $1,000 boost a year for the most challenged elderly Americans. But when 40% of Americans can't afford a $400 car repair or emergency expense, not for this group, but my to your point, I think it was the Fed or it was Treasury that published a study, I was shocked by the actual number of American millionaires that exist. And it's counter to the narrative because you would, if you just read the headlines, you think America is an economic despair, and it's not true. And the wealth creation is actually quite pervasive, which is a great feature of American capitalism. So to your point, there are a lot of people who would be willing to pay it forward to folks that didn't have it if you gave them the choice, it's just not possible today. So why shouldn't we be a government that creates, so just, Chamatham, I got to say, one of my perspectives and intentions is to not necessarily, by the way, we don't have to spend money to expose young people who never get out of their neighborhoods in many cities in this country, expose them to possibility, get them into factories and to add agencies and to high tech centers, show them rockets and music makers and artists. We don't need to spend a whole lot more money to simply completely change the path of young Americans' lives, not to mention old Americans' lives. And that's just a perfect example of a simple solution that costs zero and lets Americans actually be Americans. Okay, so now go to Medicare, but I think I know what you're going to say because you mentioned it, capitation, but maybe talk very quickly on that and then military."
What do you cut there?,"Yeah, so quickly on healthcare, look guys, I represent United Health Group in my district. Tens of thousands of Minnesotans, many of them who live in my district, earn very handsome salaries from United. They've done some great work in many ways, but I have to tell you, since I've joined Congress in my third term now, you would be in tears if you had to sit with the people that I've sat with over so many occasions who thought they had coverage, whose son got sick or whose mother broke a leg or something, and they literally have gone bankrupt or take on tens of thousands of dollars in medical debt and they get surprise bills. And then they read in the paper that their health insurer reported annual net income of over $20 billion. And I don't know how you guys feel, but I got to tell you, I'm a capitalist, I'm also compassionate, and I can no longer reconcile that. I really can't. There's a reason we're the only nation in the world that does it this way. I think it's time, by the way, from Roosevelt to Truman to Richard Nixon. Richard Nixon proposed universal health coverage, and it was Ted Kennedy that undermined it, if you can imagine that. If we don't, if conservatives and progressives don't come to the table and talk about how we can deliver a national health insurance program that is portable, let's gig economy participants do their thing, that people don't have to make choices about where to work just because of the healthcare. I don't know why we wouldn't talk about that. And by the way, I'm not talking about the provision of care. It's really important because Fox News and some Republicans have tried to say this is a socialized solution. Just the coverage, because the money is in the system already between three, four, five, six X pharma costs between two X health per capita health costs, 10,000 per person compared to any country in the world at five. The answer is, I think right there in front of us, the money's in the system would not require a tax increase. I think we could actually save substantial money. I'm working on a proposition right now. I would argue that the model is part of the problem. Fee for service is antithetical to what we need. We need a capitated model that gives an incentive to the, to the providers to keep people out of the hospital, at least try, at least try. So that's the answer on that. And by the way, you know, right now Medicare, as you probably know, it covered, I think 23% of the mayor of the country or no, between Medicare and the VA, which are single payer systems, 25% of Americans right now are covered by a single payer system. And by the way, it works better than the other system. Medicare recipients are pretty pleased. This would also be a huge benefit as a capitalist running companies. I mean, how much of your time was spent running your companies dealing with healthcare and the dysfunction of employees staying at companies because they couldn't awful, get healthcare in another company."
What would you do?,"Okay, now military, and this is where how to answer your question very directly. Once again, nobody can tell you that they can even begin to address our fiscal challenges without looking at that ridiculous number, approaching a trillion dollars a year. And by the way, the Pentagon has not passed an audit. They would, in my administration, it would, there would be a top down assessment of every single program, every single base and facility, every explanation of why we are in those 80 nations. And whether or not we should be employing 21st century strategies to keep our country safe. And I think one of the simplest solutions, you guys, is we should be entrusting countries more approximate to the problems to manage them. Doesn't mean we're not a good ally anymore. It just doesn't mean that we are in a position any longer to be the policemen for the entire world when we can barely take damn care of our country itself. It's just so damn simple. And I'm frustrated by it because as someone who lost his father in a completely obnoxious and unnecessary war, a guy that I have on my phone right now, digital audio tapes that he used to send back tapes to my mom, where he says, I've come to the conclusion he loved America. He did not like that war, but he loved America. He said, I believe the only reason we're still here is because so many people are making so much money. He sought and the same thing is happening to this day, you guys, that trillion dollars, that's going somewhere. It's going in people's pockets. And I believe we can cut that and I'm not going to make a proposition, but I believe after a comprehensive assessment that we can save hundreds of billions of dollars that can either be saved on the bottom line or better yet actually invested in human beings instead of the destruction of them, period."
Would you zero base budget?,"Absolutely. Why do, Chimoth, I've had to go back to Washington twice to vote on CRs, continuing resolutions. It is the dysfunction is absurd. There's not a, there may be five people that can read a P and L or a balance sheet in the whole damn Congress. Our budgeting system is completely broken. And yes, as president, I would demand a zero base budgeting and procedure and like I said, a comprehensive independent assessment of every program. And if it is not generating a return or if it could be outsourced to the private sector that can deliver it for a better value, that's how we should proceed. And by the way, it may not be easy. It may take time to get done, but why we don't try is absurd and to answer your final question. If we don't, and once foreign investors no longer consider the United States of America the safest place to deploy capital, it's too late. And I will not, certainly under my watch will not let us get there, but we've got to recraft."
"And lastly, can I say one more thing quick on that, Chimoth?","If the only way that I think we can address the biggest issue in the country, which is the growing disparity between those who have wealth and income and those that do not, we're not a nation that will redistribute. I think we've been not just unsuccessful. We actually created some of the problems we now find ourselves in. The way to do it is to raise the foundation the same way it was raised for me by a good, a stroke of good luck. You know, I was adopted by a dad who gave me everything. And who knows where I would have been if that didn't happen. I want to do the same thing for everybody have healthcare, have great education, have child care, make sure you have a house, a place to live. If we give everybody the same thing, then we can be a country. So let's self-determination and talk about education then briefly. So if the spectrum is the teachers union on one end of the spectrum, and Vivek Ramaswamy, who would dismantle the Department of Education at the federal level and just push all the responsibility to the states with a voucher program, he talked about it here once."
Where are you and what's your philosophy on the state of the education?,I would say I'm in the middle because I think there's some worthiness to both of those perspectives.
What would I do?,"I would fundamentally reinvent American public education with the best and the brightest, with students, with teachers, with families, with the nonprofit sector and the business sector, because right now business needs to participate in 21st century education to advise the teachers and the administrators and the curricula designers what skills they need. They're not even part of the conversation, you guys."
Why is that happening?,"I wish I had a good answer for that. It's appalling, but I do have a good solution. I'm sure like you guys, you all know this, the single most important determinant of a child's success educationally is the quality of their educator. Every single study says the same thing. The United States of America right now, we pay about 81% of the per capita GDP to teachers for compensation. The best performing systems in the world, and there is a correlation, pay 120, 130, sometimes 140, 140% of their per capita GDP. They make teaching one of the most admired, elevated professions in their nation. They identify great teachers when they're still young, and I think we should be a nation that does the same thing. We're not attracting the best and brightest any longer."
"When Teach for America teachers outperform teachers who have tenure or been at it for 10, 20, 30 years, does that not say the quality matters?","It's not the school, how it looks, but anyway, I would reinvent and the other thing is this, you and I'm sure like you guys, I remember a couple teachers that made a huge difference in my life, and they're about 50, I could barely remember at all. They should all be those two. And then furthermore, if you think sitting in front of a blackboard is the way to teach kids in this day and age, no, you got to get out of the school. You got to look at Scandinavian countries and Asian countries and how experiential learning, learning from the best, most extraordinary educators in the world through screens on occasion, but to experience, AI is going to fundamentally change employment as we know it. We have nobody in Washington that gets it. We need an administration in 2024 that does and begins to simply rectify all of these problems anticipating the change that's coming. This administration is not going to do it and education should be redesigned based on the change we know is coming. And I don't have all the answers, but I know a lot of people out in California and around the country and around the world who could help us repraft."
Or is it?,"No. No, you think we should. I think it should be, I think it should be very, you know, Jason, I would say right now it should be very limited. And this is where back to the conversation about anonymous accounts. We do have to set, I think, some standards and penalties for nefarious use of AI. If we don't do that early and set the tone, I think it will get out of control. So to me, that's all we should do right now. And let it grow, let it expand, let large enterprises and small come up with extraordinary ways to save money, by the way. AI is going to save extraordinary sums of money for the federal government and healthcare for businesses. We can anticipate how employment will change and what jobs will be jobs of the future. But if we don't think about that now, we're going to do what Congress always does, get caught off guard, have to come in on a midnight, ill-prepared with a thousand-page bill that nobody understands because it was written by a lobbyist that had skin in the game and does not serve America. And that maybe wraps up this whole conversation. Yeah, I'm just not sure folks really understand in Congress what they're doing. It's front. But the difference between foundational models and the utilization of those models in an endpoint are very different regimes to think about regulation. And that framework isn't even understood. Not at all. We're not even talking about regulating outcomes or actions. We're talking about regulating the infrastructure that could cause various outcomes. Regulate. I'm very much against where this is all evolved to. And I think some folks want to say, hey, this is a regulatory capture moment. But I want to see someone in Congress stand up and demonstrate an understanding first before they can even have the right to articulate a framework for regulation. Well, Dave, I can tell you, there's one man. I want to shout out this guy. Don Beyer is a former US ambassador, Democrat from Virginia. He must be 70. He went back to college, I think Johns Hopkins, and just received or is pursuing his degree in artificial intelligence. That's the kind of representative."
Isn't that cool?,You would never know his name because he's not on Fox Remus and BC Screaming at Night. But those are the kinds of people that should be celebrated. A lot of my Republican colleagues that got thrown out of Congress because they had the audacity to support the Constitution when Trump was impeached the second time. Those people I celebrate.
"I got a run, but can I tell one quick story to wrap my whole story up and about what I want to try to do?","At the end of the day, none of this occurs. None of the successes, none of the policy ideas, none of the ideation occurs if we don't repair. That means restoring friendships, our families, our communities, and our country. I do a series back home in Minnesota called Common Ground. I get six Democrats and six Republicans invited to a table. We break bread, we introduce ourselves, tell a little bit of our life stories. We talk about healthcare policy and we talk about immigration policy, which is where everything I share tonight comes from both Democrats and Republicans. It's a two-hour session facilitated by an extraordinary group called Braver Angels. I encourage you to look them up. They are remarkable doing this work all around the country. At the end of these sessions, we go around the table, and each person at the table shares a little bit about what they got out of this experience. I had an episode not long ago that sums up my whole mission. A young woman, Emily, looks across the table at Dave and says, Dave, when you drove up in your F-150 with the Trump sticker on it, I almost got back in my car, left the parking lot, and drove away. I could not bear to go in the building, let alone sit at a table with you. She said, but I got to say, I so loved sitting here. You're a good guy and I learned something. Goes around the table, comes to Dave and he looks at Emily and says, Emily, when you drove up in your Prius, I wanted to run it over. He says, but hey, I got to tell you, Emily, I've never met a progressive as cool as you and I really am glad I came to this today. And at that moment, Emily and Dave stood up in front of our table and they embraced. And to see a bleeding heart liberal and a died in the wool trumpet, do that probably was the most important moment in my entire career in service. If that is the only moment of its kind in my career in service, it would have made it worthwhile. And that is exactly what I'm going to inspire as president of the United States. Get Emily and Dave to hug it out. All they have to do is be invited for a little dinner, given some space in place to recognize their common cause and their common ground. And that's how we're going to do this. I don't see a candidate right now in the ballot that has that intention, has that capacity, or has that capability."
"So I just want to thank you guys and last thing and just, just yes or no, can everybody expect that you will be on the ballot in every state?","I can't say I'm going to be in the ballot in every state, Chamath, because I don't think it's possible between time and money. I'm going to have to make some choices. And that's just the sickening truth. I will, I want to salute Bernie Sanders. He actually made it possible for a candidate like me and probably future candidates who are subject to this nauseating system to actually still compete and get to the convention and maybe win because he depowered people like me, members of Congress that used to have outsized votes disproportionately. So versus voters. And I celebrate him because he was right. I used to think he was a sore loser. Bernie Sanders was absolutely right about a rigged system that is keeping people out of the process, keeping candidates out of the process and keeping debate out of the process. So I'm going to be in the most, I'm going to be on most ballots. I've got to raise money and frankly, I hate to be shameless, but the truth is, if we want to get on ballots, I need support and it's easy. Dean24.com, you know, I, by the way, I'm at 15% in New Hampshire after just two weeks. We thought it would take six if we were lucky. Wow. So people can throw 15 bucks our way to get on ballots at Dean24.com. And by the way, Joe Biden, 27%. 73% of New Hampshire Democratic voters do not want the sitting president of the United States as their nominee. And mark my words, we're going to bring change. Thank you guys. All right. Thank you so much. Thanks. Thanks for the time. Peace. Thank you very much. Keep the faith guys. I mean it. Love to see you again. See you later. Yeah. Great. Thank you. For 90 minutes with Dean Phillips. Everybody go to dean24.com if you want to learn more. All right, besties. I think that was another epic discussion with the presidential candidate."
"What's your thoughts, Jamath?",You set up this interview.
"Andrew Yang texted me like last week and said, would you guys do this?","And I was really interested because mostly I didn't know where he was coming from, to be totally honest. But I think his national visibility is probably going to increase a lot. My reaction is that he is who he says he is, which is like kind of down the middle. He doesn't take either extreme, any kind of take some moderate point of view and says there's a balance of this and that that can work. And that's actually good that he owns that as opposed to it being sort of a consequence or a byproduct of not getting what he wants. He kind of like that is where he starts. So I like that about him a lot. I thought he was really candid about what doesn't work. I really appreciate that honesty. He's saying some of the right things around capping Medicare, zero based budgeting, the military. I think all of those things right. I didn't like to be honest, the free speech part. I thought that that was, I don't think you can have some kind of registry of verified accounts or something. I just think that's a non-starter for America. It's a super slippery slope. But in general, I was really impressed. And his war stories as a businessman were pretty cool. Pretty awesome."
"Obviously, he's not part of your political party, but what do you think his chances are versus Biden and how would you assess his performance here today?","I was pleasantly surprised that he made the case for himself not just based on Biden's age and the fact that he's 54, but he also, I think, took a number of interesting policy stances that were a little different than where Biden is. He did it on foreign policy, he did it on domestic policy. So I think he took a number of positions that were refreshing. And a big one, I think, relates to his personal story, where he talks about how he lost his father in Vietnam and that that war was kept going much longer than it should have been, because basically the greed of the military industrial complex. And he didn't fully connect the dots all the way to our present situation in Ukraine. But at least I think he would be skeptical of the influence of the MIC in our politics. What he said with respect to Ukraine is, well, he said that it would be shameful to abandon them now. But he also said that if it's true, he wasn't willing to concede it because he just didn't know factually. But if it's true that we could have avoided the war by taking NATO expansion off the table, then it would only be common sense to do that. I think that when the histories of this are written, it's going to be abundantly clear that we could have done precisely that. So his difference of opinion with me isn't in the logic. It's just in what facts he knows to be true. So I actually thought that his position there was reasonable. If it came down to a choice between Dean Phillips as the Democratic nominee and someone like Nikki Haley as Republican nominee, I'd vote for Dean Phillips all day long. You know, one other thing I like about him is he is a business owner and he presents as a Bill Clinton Democrat. I mean, I think that it's not an accident. He's got a picture of Bill Clinton on the wall behind him. You know, he presents as a... That was exactly my takeaway too. I thought, wow. He presents as a moderate Democrat who's a little bit of a throwback to the Democratic party of the 1990s. If RFK Jr. is trying to bring back the Democratic Party of, say, the 1960s, the party of John F. Kennedy and Bobby Kennedy, his father, I think that Dean Phillips is more trying to bring back the Democratic Party than 1990s. Both of them, I think, are ultimately very out of step with where the Democratic Party is today, but they're out of step with it in ways that I like. So he is a candidate who I could support against a Republican who, if we ended up getting a sort of stale neocon type Republican candidate, I would take a Dean Phillips all day long."
Really?,"Wow, great. Free break, your thoughts. I mean, I think if Joe Biden runs, he obviously doesn't stand a chance just based on the structural issues that he described. If Joe Biden doesn't run and drops out, I think there are probably a lot of other Democratic candidates who are going to have deeper pockets and more support from the party and more celebrity or what have you to get themselves elected with respect to his candidacy and whether it's a realistic kind of campaign, I would probably argue no. But what I really like is the fact that he is making the case, I think in a stronger way than even RFK Jr. was on how these incumbents and how the incumbency in the party system prevents new candidates from actually participating in a true Democratic process. And it feels to me a lot like what goes on in that sense is the equivalent of like regulatory capture, but in politics. It allows these party leaders and influencers, which is a very small group of people to decide who gets to go on a ballot in the state, to decide who gets to be the nominee who decides who gets to run for president. The best thing that he's doing is exposing a system that Bernie Sanders calls rigged and that clearly, I think, is very inequitable and doesn't create a true kind of Democratic process. So it's really great to see him doing this work and telling the story. And I'm glad we gave him the forum to do that for just that reason."
"And if you were to have a choice of him or Biden, you'd pick him?",Yeah.
"If you had a choice of him or Vivek on the other side, would you pick?","No comment. Okay. Taking off my moderator hat for a minute. Loved his business story. So I grew through Chumah. Really excited to see somebody under the age of 80 run for president. And I thought there were really two powerful moments there when he said he would send special forces in and then he was pretty aggressive in his assessment of Netanyahu's leadership. And overall, he did engage with every single issue and had interesting policy issues. No, Chumah. It seemed pretty engaging there. So overall, great job, everybody. I think four for four on the presidential candidates. And just as a programming note, we have sent the first podcasting kits, the first microphones to four presidential candidates for those of you counting at home."
"What do you think will happen post this, Chumah?",Vivek got a big bump. RFK got a big bump.
What do you think is going to happen post this?,"I think that Dean Phillips is going to pull really well. The more that people get to see him. And I think New Hampshire is set up well for grassroots politics like this. It will go over very well. The question, I think Freeberg points is the key one, which is the party infrastructure has tremendous antibodies. And if they decide to shut you out, which they did very strongly and vocally for RFK, you don't have much of a choice except for one as an independent. So his candidacy is precarious not because of the viability of him as a candidate, actually, because I think it's quite high or his likeability, which is quite high or his electability, as Saq said, which against the right person is very hot. This has all to do with the antibodies of the infrastructure."
"And just a programming note, Jake, how are you drinking a chocolate milk?","I'm drinking a Core Power 26. 26 grams of protein. I'm still on my try more protein, but I did have a super gut bar earlier today, which was quite nice. Thought there was a chocolate milk. This one's got 26 grams. It's a 42 gram protein. Yeah, I don't want to give a free ad to Core Power. But Saq, in addition to the antibodies that kicked RFK out of the Democratic Party, the press also blocked him. CNN, et cetera, wouldn't let him on. The right would let him on all day long."
